	sonorant	consonantal	voiced	fricative	nasal	affricative	lateral	strident	soft	labial	dorsal	apical	palato_alveolar	high	low	back	round	long	diphthong
p	-	+	-	-	0	-	-	0	-	+	-	0	0	0	0	0	0	0	0
p_pal	-	+	-	-	0	-	-	0	+	+	-	0	0	0	0	0	0	0	0
b	-	+	+	-	0	-	-	0	-	+	-	0	0	0	0	0	0	0	0
b_pal	-	+	+	-	0	-	-	0	+	+	-	0	0	0	0	0	0	0	0
t	-	+	-	-	0	-	-	0	-	-	-	+	0	0	0	0	0	0	0
t_pal	-	+	-	-	0	-	-	0	+	-	-	+	0	0	0	0	0	0	0
d	-	+	+	-	0	-	-	0	-	-	-	+	0	0	0	0	0	0	0
d_pal	-	+	+	-	0	-	-	0	+	-	-	+	0	0	0	0	0	0	0
k	-	+	-	-	0	-	-	0	-	-	+	-	0	0	0	0	0	0	0
k_pal	-	+	-	-	0	-	-	0	+	-	+	-	0	0	0	0	0	0	0
g	-	+	+	-	0	-	-	0	-	-	+	-	0	0	0	0	0	0	0
g_pal	-	+	+	-	0	-	-	0	+	-	+	-	0	0	0	0	0	0	0
f	-	+	-	+	0	0	-	-	-	+	0	0	0	0	0	0	0	0	0
f_pal	-	+	-	+	0	0	-	-	+	+	0	0	0	0	0	0	0	0	0
s	-	+	-	+	0	0	-	+	-	0	-	0	-	0	0	0	0	0	0
s_pal	-	+	-	+	0	0	-	+	+	0	-	0	-	0	0	0	0	0	0
z	-	+	+	+	0	0	-	+	-	0	-	0	-	0	0	0	0	0	0
z_pal	-	+	+	+	0	0	-	+	+	0	-	0	-	0	0	0	0	0	0
Sh	-	+	-	+	0	0	-	+	-	0	-	0	+	0	0	0	0	0	0
Sh_pal	-	+	-	+	0	0	-	+	+	0	-	0	+	0	0	0	0	0	0
Zh	-	+	+	+	0	0	-	+	-	0	-	0	+	0	0	0	0	0	0
Zh_pal	-	+	+	+	0	0	-	+	+	0	-	0	+	0	0	0	0	0	0
x	-	+	-	+	0	0	-	-	-	0	+	0	0	0	0	0	0	0	0
x_pal	-	+	-	+	0	0	-	-	+	0	+	0	0	0	0	0	0	0	0
h	-	+	+	+	0	0	-	-	-	0	+	0	0	0	0	0	0	0	0
h_pal	-	+	+	+	0	0	-	-	+	0	+	0	0	0	0	0	0	0	0
c	-	+	-	-	0	+	-	+	-	0	0	0	-	0	0	0	0	0	0
c_pal	-	+	-	-	0	+	-	+	+	0	0	0	-	0	0	0	0	0	0
dz	-	+	+	-	0	+	-	+	-	0	0	0	-	0	0	0	0	0	0
dz_pal	-	+	+	-	0	+	-	+	+	0	0	0	-	0	0	0	0	0	0
Ch	-	+	-	-	0	+	-	+	-	0	0	0	+	0	0	0	0	0	0
Ch_pal	-	+	-	-	0	+	-	+	+	0	0	0	+	0	0	0	0	0	0
dzh	-	+	+	-	0	+	-	+	-	0	0	0	+	0	0	0	0	0	0
dzh_pal	-	+	+	-	0	+	-	+	+	0	0	0	+	0	0	0	0	0	0
v	+	+	0	+	-	0	-	-	-	+	0	0	0	0	0	0	0	0	0
v_pal	+	+	0	+	-	0	-	-	+	+	0	0	0	0	0	0	0	0	0
j	+	+	0	+	-	0	-	0	0	-	0	0	0	0	0	0	0	0	0
m	+	+	0	-	+	0	-	0	-	+	0	0	0	0	0	0	0	0	0
m_pal	+	+	0	-	+	0	-	0	+	+	0	0	0	0	0	0	0	0	0
n	+	+	0	-	+	0	-	0	-	-	0	0	0	0	0	0	0	0	0
n_pal	+	+	0	-	+	0	-	0	+	-	0	0	0	0	0	0	0	0	0
l	+	+	0	-	-	0	+	0	-	0	0	0	-	0	0	0	0	0	0
l_pal	+	+	0	-	-	0	+	0	+	0	0	0	-	0	0	0	0	0	0
l_vel	+	+	0	-	-	0	+	0	+	0	0	0	-	0	0	0	0	0	0
r	+	+	0	-	-	0	-	0	-	0	0	0	+	0	0	0	0	0	0
r_pal	+	+	0	-	-	0	-	0	+	0	0	0	+	0	0	0	0	0	0
a	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aa	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ee	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ae	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ii	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oo	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uu	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uo	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ai	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
au	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ei	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eu	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iu	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ui	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
